audit_item,status,source_id,statistical_reference_year,publication_year,volume,local_filename,sha256,pages,catalogue_url,original_url,page_reference,table_reference,evidence_reference,notes
source_identity,verified,ine_external_trade_yearbook,1973,1974,all,,,1048.0,https://www.ine.pt/xurl/pub/260533469,,catalogue page,,official INE catalogue page,Official catalogue title is Estatisticas do Comercio Externo - 1973; issue year 1974.
volume_i_file,verified,ine_external_trade_yearbook,1973,1974,I,ine_external_trade_1973_volume_i.pdf,ef13f704b430a739a258e56e080d21d930b074fe49774b6726989329a339225f,754.0,https://www.ine.pt/xurl/pub/260533469,https://www.ine.pt/ngt_server/attachfileu.jsp?look_parentBoui=260533601&att_display=n&att_download=y,all pages,,HTTP 200 PDF attachment filename ECE1973_I.pdf,Preserved locally from official INE attachment endpoint.
volume_ii_file,verified,ine_external_trade_yearbook,1973,1974,II,ine_external_trade_1973_volume_ii.pdf,b91e5dae8e39cf72479aab60521833d612cb071a610b6c8f18e830b22c712454,294.0,https://www.ine.pt/xurl/pub/260533469,https://www.ine.pt/ngt_server/attachfileu.jsp?look_parentBoui=260533738&att_display=n&att_download=y,all pages,,HTTP 200 PDF attachment filename ECE1973_II.pdf,Preserved locally from official INE attachment endpoint.
aggregate_table_discovery,page_candidates_located_pending_transcription,ine_external_trade_yearbook,1973,1974,I,ine_external_trade_1973_volume_i.pdf,ef13f704b430a739a258e56e080d21d930b074fe49774b6726989329a339225f,,https://www.ine.pt/xurl/pub/260533469,,Volume I PDF page 9; Volume I PDF page 17; Volume I PDF page 23; Volume I PDF page 23; Volume I PDF page 24; Volume I PDF page 24; Volume I PDF page 24,Quadro I/II/III aggregate candidates,visual inspection of rendered local PDF pages,"Page candidates for benchmark aggregates have been located, but no values are validated until two independent transcription passes and adjudication exist."
methodology_notes,located,ine_external_trade_yearbook,1973,1974,I,ine_external_trade_1973_volume_i.pdf,ef13f704b430a739a258e56e080d21d930b074fe49774b6726989329a339225f,,https://www.ine.pt/xurl/pub/260533469,,Volume I PDF page 9,Nota explicativa / Nota introdutoria,visual inspection of rendered local PDF pages,Special-trade scope and source-method notes located for controlled transcription.
territorial_list,located,ine_external_trade_yearbook,1973,1974,I,ine_external_trade_1973_volume_i.pdf,ef13f704b430a739a258e56e080d21d930b074fe49774b6726989329a339225f,,https://www.ine.pt/xurl/pub/260533469,,Volume I PDF page 17,Lista de paises e territorios estatisticos,visual inspection of rendered local PDF pages,Source-specific historical country/statistical-territory identifiers are visible.
world_imports,page_candidate_located_pending_transcription,ine_external_trade_yearbook,1973,1974,I,ine_external_trade_1973_volume_i.pdf,ef13f704b430a739a258e56e080d21d930b074fe49774b6726989329a339225f,,https://www.ine.pt/xurl/pub/260533469,,Volume I PDF page 23,Quadro n.o 1 - Movimento comercial por seccoes da CMCE,visual inspection of rendered local PDF pages,TOTAL row located; value not transcribed or validated.
world_exports,page_candidate_located_pending_transcription,ine_external_trade_yearbook,1973,1974,I,ine_external_trade_1973_volume_i.pdf,ef13f704b430a739a258e56e080d21d930b074fe49774b6726989329a339225f,,https://www.ine.pt/xurl/pub/260533469,,Volume I PDF page 23,Quadro n.o 1 - Movimento comercial por seccoes da CMCE,visual inspection of rendered local PDF pages,TOTAL row located; value not transcribed or validated.
overseas_imports,page_candidate_located_pending_transcription,ine_external_trade_yearbook,1973,1974,I,ine_external_trade_1973_volume_i.pdf,ef13f704b430a739a258e56e080d21d930b074fe49774b6726989329a339225f,,https://www.ine.pt/xurl/pub/260533469,,Volume I PDF page 24,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,visual inspection of rendered local PDF pages,Overseas/Ultramar aggregate row located; value not transcribed or validated.
overseas_exports,page_candidate_located_pending_transcription,ine_external_trade_yearbook,1973,1974,I,ine_external_trade_1973_volume_i.pdf,ef13f704b430a739a258e56e080d21d930b074fe49774b6726989329a339225f,,https://www.ine.pt/xurl/pub/260533469,,Volume I PDF page 24,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,visual inspection of rendered local PDF pages,Overseas/Ultramar aggregate row located; value not transcribed or validated.
eec_efta_group_rows,aggregate_rows_located_pending_transcription,ine_external_trade_yearbook,1973,1974,I,ine_external_trade_1973_volume_i.pdf,ef13f704b430a739a258e56e080d21d930b074fe49774b6726989329a339225f,,https://www.ine.pt/xurl/pub/260533469,,Volume I PDF page 24,Quadro n.o 2 - CEE and EFTA aggregate rows,visual inspection of rendered local PDF pages,The 1973 country list reflects EEC enlargement and EFTA changes; Quadro n.o 2 includes CEE and EFTA aggregate rows pending two-pass transcription.
transcription_status,not_started,ine_external_trade_yearbook,1973,1974,all,,,,https://www.ine.pt/xurl/pub/260533469,,,,manual workflow not started,No aggregate values from this source are validated until two independent transcription passes and discrepancy resolution exist.
