audit_item,status,source_id,statistical_reference_year,publication_year,volume,local_filename,sha256,pages,catalogue_url,original_url,page_reference,table_reference,evidence_reference,notes
source_identity,verified,ine_external_trade_yearbook,1962,1963,all,,,1144,https://www.ine.pt/xurl/pub/260578492,,catalogue page,,official INE catalogue page,Official catalogue title is Estatisticas do Comercio Externo - 1962; issue year 1963.
volume_i_file,verified,ine_external_trade_yearbook,1962,1963,I,ine_external_trade_1962_volume_i.pdf,4f65453197d811905bcb7fe919926ddb09fe3c850875af5ae232c2c600a948dc,567,https://www.ine.pt/xurl/pub/260578492,https://censos.ine.pt/ngt_server/attachfileu.jsp?look_parentBoui=260578679&att_display=n&att_download=y,all pages,,HTTP 200 PDF attachment with Content-Disposition filename CExt1962vol_I.pdf,Preserved locally from official INE attachment endpoint.
volume_ii_file,verified,ine_external_trade_yearbook,1962,1963,II,ine_external_trade_1962_volume_ii.pdf,02542c6e1808cdc6da956a82089b5921afe37109b6f01a367af2a41e760bebd8,577,https://www.ine.pt/xurl/pub/260578492,https://censos.ine.pt/ngt_server/attachfileu.jsp?look_parentBoui=260578905&att_display=n&att_download=y,all pages,,HTTP 200 PDF attachment with Content-Disposition filename ECExt1962 vol II.pdf,Preserved locally from official INE attachment endpoint.
machine_text_availability,not_available,ine_external_trade_yearbook,1962,1963,all,,,1144,https://www.ine.pt/xurl/pub/260578492,,all pages,,pdftotext returned no usable text for opening pages,The PDFs are image scans; page/table discovery requires OCR or manual review.
statistical_territory_note,lead_identified,ine_external_trade_yearbook,1962,1963,I,ine_external_trade_1962_volume_i.pdf,4f65453197d811905bcb7fe919926ddb09fe3c850875af5ae232c2c600a948dc,567,https://www.ine.pt/xurl/pub/260578492,,PDF page 5,,manual image inspection of introductory note,Opening note discusses list of countries and statistical territories and begins with Portuguese overseas territories.
country_grouping_note,lead_identified,ine_external_trade_yearbook,1962,1963,I,ine_external_trade_1962_volume_i.pdf,4f65453197d811905bcb7fe919926ddb09fe3c850875af5ae232c2c600a948dc,567,https://www.ine.pt/xurl/pub/260578492,,PDF page 5,,manual image inspection of introductory note,Opening note states countries are grouped by OECD structure including EEC and EFTA groups.
azores_madeira_special_trade_note,lead_identified,ine_external_trade_yearbook,1962,1963,I,ine_external_trade_1962_volume_i.pdf,4f65453197d811905bcb7fe919926ddb09fe3c850875af5ae232c2c600a948dc,567,https://www.ine.pt/xurl/pub/260578492,,PDF pages 5-6,,manual image inspection of introductory note,Opening note identifies special trade treatment for Azores and Madeira and points to tables XII to XVII.
total_exports_table,first_pass_transcribed,ine_external_trade_yearbook,1962,1963,I,ine_external_trade_1962_volume_i.pdf,4f65453197d811905bcb7fe919926ddb09fe3c850875af5ae232c2c600a948dc,567,https://www.ine.pt/xurl/pub/260578492,,PDF page 33,Quadro II - Comercio especial Exportacao 1960-1962,manual image inspection of TOTAL row,1962 current-money total exports first-pass value is 10631829 in 1000 escudos; independent second pass still required.
total_imports_table,first_pass_transcribed,ine_external_trade_yearbook,1962,1963,I,ine_external_trade_1962_volume_i.pdf,4f65453197d811905bcb7fe919926ddb09fe3c850875af5ae232c2c600a948dc,567,https://www.ine.pt/xurl/pub/260578492,,PDF page 29,Quadro I - Comercio especial Importacao 1960-1962,manual image inspection of TOTAL row,1962 current-money total imports first-pass value is 16829535 in 1000 escudos; independent second pass still required.
overseas_trade_table,page_not_located,ine_external_trade_yearbook,1962,1963,unknown,,,,https://www.ine.pt/xurl/pub/260578492,,,,pending manual page discovery,Do not treat Comtrade colonial lower bounds as complete until INE overseas aggregate pages are located and transcribed.
efta_trade_table,page_not_located,ine_external_trade_yearbook,1962,1963,unknown,,,,https://www.ine.pt/xurl/pub/260578492,,,,pending manual page discovery,EFTA group presence is identified in the introductory note; aggregate value page remains unlocated.
eec_trade_table,page_not_located,ine_external_trade_yearbook,1962,1963,unknown,,,,https://www.ine.pt/xurl/pub/260578492,,,,pending manual page discovery,EEC group presence is identified in the introductory note; aggregate value page remains unlocated.
valuation_definition,page_not_located,ine_external_trade_yearbook,1962,1963,unknown,,,,https://www.ine.pt/xurl/pub/260578492,,,,pending manual page discovery,FOB/CIF or other valuation definitions must be verified before reconciliation.
currency_unit,page_not_located,ine_external_trade_yearbook,1962,1963,unknown,,,,https://www.ine.pt/xurl/pub/260578492,,,,pending manual page discovery,Currency and unit conventions must be verified before transcription.
