audit_item,status,source_id,statistical_reference_year,publication_year,volume,local_filename,sha256,pages,catalogue_url,original_url,page_reference,table_reference,evidence_reference,notes
source_identity,verified,ine_external_trade_yearbook,1965,1966,all,,,1263.0,https://www.ine.pt/xurl/pub/260537851,,catalogue page,,official INE catalogue page,Official catalogue title is Estatisticas do Comercio Externo - 1965; issue year 1966.
volume_i_file,verified,ine_external_trade_yearbook,1965,1966,I,ine_external_trade_1965_volume_i.pdf,d6b95a6b73d54ce1935955b6be7cfed9f20e1d7a3535e1b8c2432edaaff4c6f3,631.0,https://www.ine.pt/xurl/pub/260537851,https://www.ine.pt/ngt_server/attachfileu.jsp?look_parentBoui=260537943&att_display=n&att_download=y,all pages,,HTTP 200 PDF attachment filename CExterno1965_I.pdf,Preserved locally from official INE attachment endpoint.
volume_ii_file,verified,ine_external_trade_yearbook,1965,1966,II,ine_external_trade_1965_volume_ii.pdf,0d37ab3f0fb1511d89722b0536734cf94d7eed3045d0c134a49c4ea6c5af21fb,632.0,https://www.ine.pt/xurl/pub/260537851,https://www.ine.pt/ngt_server/attachfileu.jsp?look_parentBoui=260538562&att_display=n&att_download=y,all pages,,HTTP 200 PDF attachment filename Cexterno1966_II.pdf,Preserved locally from official INE attachment endpoint.
aggregate_table_discovery,page_candidates_located_pending_transcription,ine_external_trade_yearbook,1965,1966,I,ine_external_trade_1965_volume_i.pdf,d6b95a6b73d54ce1935955b6be7cfed9f20e1d7a3535e1b8c2432edaaff4c6f3,,https://www.ine.pt/xurl/pub/260537851,,"Volume I PDF pages 9-10; Volume I PDF page 23; Volume I PDF page 30; Volume I PDF page 38; Volume I PDF page 48; Volume I PDF page 50; Volume I PDF pages 23, 48, and 50",Quadro I/II/III aggregate candidates,visual inspection of rendered local PDF pages,"Page candidates for benchmark aggregates have been located, but no values are validated until two independent transcription passes and adjudication exist."
methodology_notes,located,ine_external_trade_yearbook,1965,1966,I,ine_external_trade_1965_volume_i.pdf,d6b95a6b73d54ce1935955b6be7cfed9f20e1d7a3535e1b8c2432edaaff4c6f3,,https://www.ine.pt/xurl/pub/260537851,,Volume I PDF pages 9-10,Nota explicativa / Nota introdutoria,visual inspection of rendered local PDF pages,Special-trade scope and source-method notes located for controlled transcription.
territorial_list,located,ine_external_trade_yearbook,1965,1966,I,ine_external_trade_1965_volume_i.pdf,d6b95a6b73d54ce1935955b6be7cfed9f20e1d7a3535e1b8c2432edaaff4c6f3,,https://www.ine.pt/xurl/pub/260537851,,Volume I PDF page 23,Lista de paises e territorios estatisticos,visual inspection of rendered local PDF pages,Source-specific historical country/statistical-territory identifiers are visible.
world_imports,page_candidate_located_pending_transcription,ine_external_trade_yearbook,1965,1966,I,ine_external_trade_1965_volume_i.pdf,d6b95a6b73d54ce1935955b6be7cfed9f20e1d7a3535e1b8c2432edaaff4c6f3,,https://www.ine.pt/xurl/pub/260537851,,Volume I PDF page 30,Quadro I - Comercio especial. Importacao,visual inspection of rendered local PDF pages,TOTAL row located; value not transcribed or validated.
world_exports,page_candidate_located_pending_transcription,ine_external_trade_yearbook,1965,1966,I,ine_external_trade_1965_volume_i.pdf,d6b95a6b73d54ce1935955b6be7cfed9f20e1d7a3535e1b8c2432edaaff4c6f3,,https://www.ine.pt/xurl/pub/260537851,,Volume I PDF page 38,Quadro II - Comercio especial. Exportacao,visual inspection of rendered local PDF pages,TOTAL row located; value not transcribed or validated.
overseas_imports,page_candidate_located_pending_transcription,ine_external_trade_yearbook,1965,1966,I,ine_external_trade_1965_volume_i.pdf,d6b95a6b73d54ce1935955b6be7cfed9f20e1d7a3535e1b8c2432edaaff4c6f3,,https://www.ine.pt/xurl/pub/260537851,,Volume I PDF page 48,Quadro III - Comercio especial por territorios estatisticos - Importacao,visual inspection of rendered local PDF pages,Overseas/Ultramar aggregate row located; value not transcribed or validated.
overseas_exports,page_candidate_located_pending_transcription,ine_external_trade_yearbook,1965,1966,I,ine_external_trade_1965_volume_i.pdf,d6b95a6b73d54ce1935955b6be7cfed9f20e1d7a3535e1b8c2432edaaff4c6f3,,https://www.ine.pt/xurl/pub/260537851,,Volume I PDF page 50,Quadro III - Comercio especial por territorios estatisticos - Exportacao,visual inspection of rendered local PDF pages,Overseas/Ultramar aggregate row located; value not transcribed or validated.
eec_efta_group_rows,group_membership_present_no_aggregate_row_verified,ine_external_trade_yearbook,1965,1966,I,ine_external_trade_1965_volume_i.pdf,d6b95a6b73d54ce1935955b6be7cfed9f20e1d7a3535e1b8c2432edaaff4c6f3,,https://www.ine.pt/xurl/pub/260537851,,"Volume I PDF pages 23, 48, and 50",Lista de paises; Quadro III country rows,visual inspection of rendered local PDF pages,"The country list identifies CEE and EFTA membership, but the inspected 1965 Quadro III pages show country rows rather than separate CEE/EFTA aggregate rows; any group totals require controlled aggregation after transcription."
transcription_status,not_started,ine_external_trade_yearbook,1965,1966,all,,,,https://www.ine.pt/xurl/pub/260537851,,,,manual workflow not started,No aggregate values from this source are validated until two independent transcription passes and discrepancy resolution exist.
