value,3,3_label,18,18_label,19,19_label,29,29_label,40,40_label,63,63_label,70,70_label,reference_date,reference_date_label
-2.6,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1954-12-31,1954-12-31
1.35,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1955-12-31,1955-12-31
4.84,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1956-12-31,1956-12-31
-1.02,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1957-12-31,1957-12-31
0.78,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1958-12-31,1958-12-31
-1.82,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1959-12-31,1959-12-31
1.24,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1960-12-31,1960-12-31
6.9,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1961-12-31,1961-12-31
-2.9,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1962-12-31,1962-12-31
1.59,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1963-12-31,1963-12-31
-0.39,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1964-12-31,1964-12-31
3.55,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1965-12-31,1965-12-31
-2.37,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1966-12-31,1966-12-31
5.41,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1967-12-31,1967-12-31
3.11,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1968-12-31,1968-12-31
0.74,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1969-12-31,1969-12-31
-1.87,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1970-12-31,1970-12-31
-1.22,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1971-12-31,1971-12-31
8.35,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1972-12-31,1972-12-31
10.03,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1973-12-31,1973-12-31
19.25,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1974-12-31,1974-12-31
11.43,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1975-12-31,1975-12-31
15.27,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1976-12-31,1976-12-31
22.97,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1977-12-31,1977-12-31
25.51,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1978-12-31,1978-12-31
27.5,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1979-12-31,1979-12-31
21.68,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1980-12-31,1980-12-31
11.58,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1981-12-31,1981-12-31
13.44,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1982-12-31,1982-12-31
29.57,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1983-12-31,1983-12-31
33.99,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1984-12-31,1984-12-31
21.91,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1985-12-31,1985-12-31
14.98,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1986-12-31,1986-12-31
12.82,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1987-12-31,1987-12-31
13.92,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1988-12-31,1988-12-31
6.72,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1989-12-31,1989-12-31
7.8,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1990-12-31,1990-12-31
3.67,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1991-12-31,1991-12-31
6.15,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1992-12-31,1992-12-31
4.66,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1993-12-31,1993-12-31
4.23,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1994-12-31,1994-12-31
3.23,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1995-12-31,1995-12-31
-0.38,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1996-12-31,1996-12-31
1.81,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1997-12-31,1997-12-31
3.02,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1998-12-31,1998-12-31
4.12,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1999-12-31,1999-12-31
0.95,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2000-12-31,2000-12-31
1.76,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2001-12-31,2001-12-31
2.4,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2002-12-31,2002-12-31
-1.56,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2003-12-31,2003-12-31
0.56,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2004-12-31,2004-12-31
1.56,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2005-12-31,2005-12-31
1.98,5323,GVA - Manufacturing,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2006-12-31,2006-12-31
