value,2,2_label,18,18_label,19,19_label,29,29_label,40,40_label,63,63_label,70,70_label,reference_date,reference_date_label
0.66,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1954-12-31,1954-12-31
0.11,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1955-12-31,1955-12-31
2.88,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1956-12-31,1956-12-31
0.76,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1957-12-31,1957-12-31
1.67,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1958-12-31,1958-12-31
2.54,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1959-12-31,1959-12-31
1.98,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1960-12-31,1960-12-31
1.69,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1961-12-31,1961-12-31
1.52,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1962-12-31,1962-12-31
1.93,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1963-12-31,1963-12-31
3.11,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1964-12-31,1964-12-31
6.39,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1965-12-31,1965-12-31
4.12,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1966-12-31,1966-12-31
6.6,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1967-12-31,1967-12-31
4.33,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1968-12-31,1968-12-31
4.6,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1969-12-31,1969-12-31
