value,2,2_label,18,18_label,19,19_label,29,29_label,40,40_label,63,63_label,70,70_label,reference_date,reference_date_label
0.978,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3636,Index,4267,Annual,349,Portugal,3327,Percentage,1953-12-31,1953-12-31
0.984,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3636,Index,4267,Annual,349,Portugal,3327,Percentage,1954-12-31,1954-12-31
0.985,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3636,Index,4267,Annual,349,Portugal,3327,Percentage,1955-12-31,1955-12-31
1.014,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3636,Index,4267,Annual,349,Portugal,3327,Percentage,1956-12-31,1956-12-31
1.021,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3636,Index,4267,Annual,349,Portugal,3327,Percentage,1957-12-31,1957-12-31
1.038,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3636,Index,4267,Annual,349,Portugal,3327,Percentage,1958-12-31,1958-12-31
1.065,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3636,Index,4267,Annual,349,Portugal,3327,Percentage,1959-12-31,1959-12-31
1.086,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3636,Index,4267,Annual,349,Portugal,3327,Percentage,1960-12-31,1960-12-31
1.104,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3636,Index,4267,Annual,349,Portugal,3327,Percentage,1961-12-31,1961-12-31
1.121,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3636,Index,4267,Annual,349,Portugal,3327,Percentage,1962-12-31,1962-12-31
1.143,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3636,Index,4267,Annual,349,Portugal,3327,Percentage,1963-12-31,1963-12-31
1.178,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3636,Index,4267,Annual,349,Portugal,3327,Percentage,1964-12-31,1964-12-31
1.254,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3636,Index,4267,Annual,349,Portugal,3327,Percentage,1965-12-31,1965-12-31
