year,currency,counter_currency,rate_type,pte_per_usd,effective_date,source,source_url,local_file,source_sha256,evidence_note,source_status
1962,PTE,USD,IMF par value,28.75,1962-06-01,"IMF, Central Banking Legislation, Portugal chapter",https://www.elibrary.imf.org/downloadpdf/display/book/9781451949605/ch013.pdf,data/manual/source_documents/imf_central_banking_legislation_portugal_ch013.pdf,3df5459a73b9ffeee9c08979bf43fb38e07103bc54f19a7bf667520dde87f809,Portugal agreed with the IMF on an initial escudo par value effective 1962-06-01 of 28.75 escudos per U.S. dollar.,registered_local_source
1960,PTE,USD,IMF IFS period average,28.75,1960-12-31,"IMF, International Financial Statistics, Exchange Rates (ER) dataset","https://api.imf.org/external/sdmx/2.1/data/IMF.STA,ER,4.0.1/PRT.XDC_USD.PA_RT.A",data/raw/live/imf_exchange_rates/imf_ifs_er_prt_xdc_usd_pa_annual.xml,85b7c96bcb20e0a90b5bf015eec90ff9ba5000652a8aa361da671ef68b533fc0,"Annual period-average exchange rate for 1960 from the IMF SDMX series PRT.XDC_USD.PA_RT.A, retrieved from the IMF SDMX 2.1 REST API and stored as a local snapshot.",registered_local_source
1961,PTE,USD,IMF IFS period average,28.75,1961-12-31,"IMF, International Financial Statistics, Exchange Rates (ER) dataset","https://api.imf.org/external/sdmx/2.1/data/IMF.STA,ER,4.0.1/PRT.XDC_USD.PA_RT.A",data/raw/live/imf_exchange_rates/imf_ifs_er_prt_xdc_usd_pa_annual.xml,85b7c96bcb20e0a90b5bf015eec90ff9ba5000652a8aa361da671ef68b533fc0,"Annual period-average exchange rate for 1961 from the IMF SDMX series PRT.XDC_USD.PA_RT.A, retrieved from the IMF SDMX 2.1 REST API and stored as a local snapshot.",registered_local_source
1963,PTE,USD,IMF IFS period average,28.75,1963-12-31,"IMF, International Financial Statistics, Exchange Rates (ER) dataset","https://api.imf.org/external/sdmx/2.1/data/IMF.STA,ER,4.0.1/PRT.XDC_USD.PA_RT.A",data/raw/live/imf_exchange_rates/imf_ifs_er_prt_xdc_usd_pa_annual.xml,85b7c96bcb20e0a90b5bf015eec90ff9ba5000652a8aa361da671ef68b533fc0,"Annual period-average exchange rate for 1963 from the IMF SDMX series PRT.XDC_USD.PA_RT.A, retrieved from the IMF SDMX 2.1 REST API and stored as a local snapshot.",registered_local_source
1964,PTE,USD,IMF IFS period average,28.75,1964-12-31,"IMF, International Financial Statistics, Exchange Rates (ER) dataset","https://api.imf.org/external/sdmx/2.1/data/IMF.STA,ER,4.0.1/PRT.XDC_USD.PA_RT.A",data/raw/live/imf_exchange_rates/imf_ifs_er_prt_xdc_usd_pa_annual.xml,85b7c96bcb20e0a90b5bf015eec90ff9ba5000652a8aa361da671ef68b533fc0,"Annual period-average exchange rate for 1964 from the IMF SDMX series PRT.XDC_USD.PA_RT.A, retrieved from the IMF SDMX 2.1 REST API and stored as a local snapshot.",registered_local_source
1965,PTE,USD,IMF IFS period average,28.75,1965-12-31,"IMF, International Financial Statistics, Exchange Rates (ER) dataset","https://api.imf.org/external/sdmx/2.1/data/IMF.STA,ER,4.0.1/PRT.XDC_USD.PA_RT.A",data/raw/live/imf_exchange_rates/imf_ifs_er_prt_xdc_usd_pa_annual.xml,85b7c96bcb20e0a90b5bf015eec90ff9ba5000652a8aa361da671ef68b533fc0,"Annual period-average exchange rate for 1965 from the IMF SDMX series PRT.XDC_USD.PA_RT.A, retrieved from the IMF SDMX 2.1 REST API and stored as a local snapshot.",registered_local_source
1966,PTE,USD,IMF IFS period average,28.75,1966-12-31,"IMF, International Financial Statistics, Exchange Rates (ER) dataset","https://api.imf.org/external/sdmx/2.1/data/IMF.STA,ER,4.0.1/PRT.XDC_USD.PA_RT.A",data/raw/live/imf_exchange_rates/imf_ifs_er_prt_xdc_usd_pa_annual.xml,85b7c96bcb20e0a90b5bf015eec90ff9ba5000652a8aa361da671ef68b533fc0,"Annual period-average exchange rate for 1966 from the IMF SDMX series PRT.XDC_USD.PA_RT.A, retrieved from the IMF SDMX 2.1 REST API and stored as a local snapshot.",registered_local_source
1967,PTE,USD,IMF IFS period average,28.75,1967-12-31,"IMF, International Financial Statistics, Exchange Rates (ER) dataset","https://api.imf.org/external/sdmx/2.1/data/IMF.STA,ER,4.0.1/PRT.XDC_USD.PA_RT.A",data/raw/live/imf_exchange_rates/imf_ifs_er_prt_xdc_usd_pa_annual.xml,85b7c96bcb20e0a90b5bf015eec90ff9ba5000652a8aa361da671ef68b533fc0,"Annual period-average exchange rate for 1967 from the IMF SDMX series PRT.XDC_USD.PA_RT.A, retrieved from the IMF SDMX 2.1 REST API and stored as a local snapshot.",registered_local_source
1968,PTE,USD,IMF IFS period average,28.75,1968-12-31,"IMF, International Financial Statistics, Exchange Rates (ER) dataset","https://api.imf.org/external/sdmx/2.1/data/IMF.STA,ER,4.0.1/PRT.XDC_USD.PA_RT.A",data/raw/live/imf_exchange_rates/imf_ifs_er_prt_xdc_usd_pa_annual.xml,85b7c96bcb20e0a90b5bf015eec90ff9ba5000652a8aa361da671ef68b533fc0,"Annual period-average exchange rate for 1968 from the IMF SDMX series PRT.XDC_USD.PA_RT.A, retrieved from the IMF SDMX 2.1 REST API and stored as a local snapshot.",registered_local_source
1969,PTE,USD,IMF IFS period average,28.75,1969-12-31,"IMF, International Financial Statistics, Exchange Rates (ER) dataset","https://api.imf.org/external/sdmx/2.1/data/IMF.STA,ER,4.0.1/PRT.XDC_USD.PA_RT.A",data/raw/live/imf_exchange_rates/imf_ifs_er_prt_xdc_usd_pa_annual.xml,85b7c96bcb20e0a90b5bf015eec90ff9ba5000652a8aa361da671ef68b533fc0,"Annual period-average exchange rate for 1969 from the IMF SDMX series PRT.XDC_USD.PA_RT.A, retrieved from the IMF SDMX 2.1 REST API and stored as a local snapshot.",registered_local_source
