year,flow,concept,source_a,source_b,source_a_value,source_b_value,absolute_difference,relative_difference,unit,valuation_basis,territorial_definition_a,territorial_definition_b,reconciliation_status,explanation,evidence_reference,signed_difference,relative_difference_denominator,source_a_original_value,source_a_currency,source_b_original_value,source_b_currency,conversion_method,expected_partner_count,observed_partner_count,coverage_ratio,value_coverage_ratio,missing_partner_entities
1962,X,World exports,UN Comtrade,INE,369792288.0,369802747.82608694,10459.826086938381,-2.828487929964623e-05,USD,special trade; export values follow INE explanatory note conventions,requires_historical_metadata_review,INE statistical territories as printed in the 1962 volume; metropolitan-territory scope remains pending territorial-definition review,reconciled_with_conversion,"World totals reconcile within tolerance after converting at the registered 1962 rate of 28.75 PTE/USD. Reporter-territory evidence remains a caveat, so Comtrade is retained as a benchmark rather than merged into the INE source universe.",INE Volume I PDF page 33 (Quadro II - Comercio especial. Exportacao); results/diagnostics/comtrade_coverage/comtrade_coverage_audit.csv 1962 X World row; data/interim/live/portugal_exchange_rate_evidence.csv.,-10459.826086938381,source_b_value_converted_to_USD,369792288.0,USD,10631829000.0,PTE,source_b_original_value / 28.75; registered 1962 PTE/USD rate,,,,,
1962,M,World imports,UN Comtrade,INE,585345024.0,585375130.4347826,30106.434782624245,-5.1431011017265004e-05,USD,special trade; import values declared by importers and accepted by customs per explanatory note,requires_historical_metadata_review,INE statistical territories as printed in the 1962 volume; metropolitan-territory scope remains pending territorial-definition review,reconciled_with_conversion,"World totals reconcile within tolerance after converting at the registered 1962 rate of 28.75 PTE/USD. Reporter-territory evidence remains a caveat, so Comtrade is retained as a benchmark rather than merged into the INE source universe.",INE Volume I PDF page 29 (Quadro I - Comercio especial. Importacao); results/diagnostics/comtrade_coverage/comtrade_coverage_audit.csv 1962 M World row; data/interim/live/portugal_exchange_rate_evidence.csv.,-30106.434782624245,source_b_value_converted_to_USD,585345024.0,USD,16829535000.0,PTE,source_b_original_value / 28.75; registered 1962 PTE/USD rate,,,,,
1962,X,Overseas exports,UN Comtrade,INE,83098353.0,83160069.56521739,61716.56521739066,-0.0007421418180631764,USD,special trade; export values follow INE explanatory note conventions,Observed Comtrade configured colonial partner subset; INE overseas territories not returned or not registered as Comtrade areas remain unresolved.,Ultramar row in INE statistical-territory table; individual overseas territories are listed separately below the aggregate row,resolved_for_dataset_ine_preferred_complete_aggregate,"INE provides the complete overseas aggregate and is the preferred source for complete colonial shares. The Comtrade colonial partner subset remains an observed lower-bound diagnostic: it covers only the returned partners, while the contemporaneous INE overseas category includes additional source-specific territories.",INE Volume I PDF page 39 (Quadro III - Comercio especial por territorios estatisticos - Exportacao); data/interim/live/comtrade_coverage_matrix.csv 1962 colonial partner rows; config/historical_groups.yml colonies group.,-61716.56521739066,source_b_value_converted_to_USD,83098353.0,USD,2390852000.0,PTE,source_b_original_value / 28.75; registered 1962 PTE/USD rate,8,4,0.5,0.9992578581819368,cabo_verde;macao;portuguese_india;sao_tome_principe
1962,M,Overseas imports,UN Comtrade,INE,73792234.0,73816904.3478261,24670.347826093435,-0.000334210003034623,USD,special trade; import values declared by importers and accepted by customs per explanatory note,Observed Comtrade configured colonial partner subset; INE overseas territories not returned or not registered as Comtrade areas remain unresolved.,Ultramar row in INE statistical-territory table; individual overseas territories are listed separately below the aggregate row,resolved_for_dataset_ine_preferred_complete_aggregate,"INE provides the complete overseas aggregate and is the preferred source for complete colonial shares. The Comtrade colonial partner subset remains an observed lower-bound diagnostic: it covers only the returned partners, while the contemporaneous INE overseas category includes additional source-specific territories.",INE Volume I PDF page 38 (Quadro III - Comercio especial por territorios estatisticos - Importacao); data/interim/live/comtrade_coverage_matrix.csv 1962 colonial partner rows; config/historical_groups.yml colonies group.,-24670.347826093435,source_b_value_converted_to_USD,73792234.0,USD,2122236000.0,PTE,source_b_original_value / 28.75; registered 1962 PTE/USD rate,8,4,0.5,0.9996657899969654,cabo_verde;macao;portuguese_india;sao_tome_principe
1963,X,World exports,UN Comtrade,INE,418157120.0,418231791.3043478,74671.30434781313,-0.00017854047898877855,USD,special trade; export values follow INE explanatory note conventions,requires_historical_metadata_review,"INE statistical territories as printed in the 1963 volume; partner rows are listed under Europa without bloc subtotals, and Finland and Ireland are not printed separately",unresolved,"World totals differ by -0.0179% after converting at the registered 1963 rate of 28.75 PTE/USD, which exceeds the reconciliation tolerance. Annual period-average conversion is a weaker approximation in years when the rate moved within the year.","INE Volume I PDF page 48 (Quadro III - Comercio especial, por territorios estatisticos); results/diagnostics/comtrade_coverage/comtrade_coverage_audit.csv 1963 X World row; data/interim/live/portugal_exchange_rate_evidence.csv.",-74671.30434781313,source_b_value_converted_to_USD,418157120.0,USD,12024164000.0,PTE,source_b_original_value / 28.75; registered 1963 PTE/USD rate,,,,,
1963,M,World imports,UN Comtrade,INE,656176256.0,656218156.5217391,41900.52173912525,-6.38515123708516e-05,USD,special trade; import values declared by importers and accepted by customs per explanatory note,requires_historical_metadata_review,"INE statistical territories as printed in the 1963 volume; partner rows are listed under Europa without bloc subtotals, and Finland and Ireland are not printed separately",reconciled_with_conversion,"World totals reconcile within tolerance after converting at the registered 1963 rate of 28.75 PTE/USD. Reporter-territory evidence remains a caveat, so Comtrade is retained as a benchmark rather than merged into the INE source universe.","INE Volume I PDF page 46 (Quadro III - Comercio especial, por territorios estatisticos); results/diagnostics/comtrade_coverage/comtrade_coverage_audit.csv 1963 M World row; data/interim/live/portugal_exchange_rate_evidence.csv.",-41900.52173912525,source_b_value_converted_to_USD,656176256.0,USD,18866272000.0,PTE,source_b_original_value / 28.75; registered 1963 PTE/USD rate,,,,,
1963,X,Overseas exports,UN Comtrade,INE,99195395.0,99424069.56521739,228674.56521739066,-0.002299992006134804,USD,special trade; export values follow INE explanatory note conventions,Observed Comtrade configured colonial partner subset; INE overseas territories not returned or not registered as Comtrade areas remain unresolved.,Ultramar row in the INE statistical-territory table; individual territories are listed separately below the aggregate row,resolved_for_dataset_ine_preferred_complete_aggregate,"INE provides the complete overseas aggregate and is the preferred source for complete colonial shares. The Comtrade colonial partner subset remains an observed lower-bound diagnostic: it covers only the returned partners, while the contemporaneous INE overseas category includes additional source-specific territories.","INE Volume I PDF page 48 (Quadro III - Comercio especial, por territorios estatisticos); data/interim/live/comtrade_coverage_matrix.csv 1963 colonial partner rows; config/historical_groups.yml colonies group.",-228674.56521739066,source_b_value_converted_to_USD,99195395.0,USD,2858442000.0,PTE,source_b_original_value / 28.75; registered 1963 PTE/USD rate,8,4,0.5,0.9977000079938652,cabo_verde;macao;portuguese_india;sao_tome_principe
1963,M,Overseas imports,UN Comtrade,INE,93923476.0,93963582.60869566,40106.60869565606,-0.0004268314125769028,USD,special trade; import values declared by importers and accepted by customs per explanatory note,Observed Comtrade configured colonial partner subset; INE overseas territories not returned or not registered as Comtrade areas remain unresolved.,Ultramar row in the INE statistical-territory table; individual territories are listed separately below the aggregate row,resolved_for_dataset_ine_preferred_complete_aggregate,"INE provides the complete overseas aggregate and is the preferred source for complete colonial shares. The Comtrade colonial partner subset remains an observed lower-bound diagnostic: it covers only the returned partners, while the contemporaneous INE overseas category includes additional source-specific territories.","INE Volume I PDF page 46 (Quadro III - Comercio especial, por territorios estatisticos); data/interim/live/comtrade_coverage_matrix.csv 1963 colonial partner rows; config/historical_groups.yml colonies group.",-40106.60869565606,source_b_value_converted_to_USD,93923476.0,USD,2701453000.0,PTE,source_b_original_value / 28.75; registered 1963 PTE/USD rate,8,4,0.5,0.9995731685874231,cabo_verde;macao;portuguese_india;sao_tome_principe
1964,X,World exports,UN Comtrade,INE,515699840.0,515852800.0,152960.0,-0.00029651869680653083,USD,special trade; export values follow INE explanatory note conventions,requires_historical_metadata_review,"INE statistical territories as printed in the 1964 volume; partner rows are listed under Europa without bloc subtotals, and Finland and Ireland are not printed separately",unresolved,"World totals differ by -0.0297% after converting at the registered 1964 rate of 28.75 PTE/USD, which exceeds the reconciliation tolerance. Annual period-average conversion is a weaker approximation in years when the rate moved within the year.","INE Volume I PDF page 48 (Quadro III - Comercio especial, por territorios estatisticos); results/diagnostics/comtrade_coverage/comtrade_coverage_audit.csv 1964 X World row; data/interim/live/portugal_exchange_rate_evidence.csv.",-152960.0,source_b_value_converted_to_USD,515699840.0,USD,14830768000.0,PTE,source_b_original_value / 28.75; registered 1964 PTE/USD rate,,,,,
1964,M,World imports,UN Comtrade,INE,776289984.0,776345460.8695652,55476.86956524849,-7.145899906867521e-05,USD,special trade; import values declared by importers and accepted by customs per explanatory note,requires_historical_metadata_review,"INE statistical territories as printed in the 1964 volume; partner rows are listed under Europa without bloc subtotals, and Finland and Ireland are not printed separately",reconciled_with_conversion,"World totals reconcile within tolerance after converting at the registered 1964 rate of 28.75 PTE/USD. Reporter-territory evidence remains a caveat, so Comtrade is retained as a benchmark rather than merged into the INE source universe.","INE Volume I PDF page 46 (Quadro III - Comercio especial, por territorios estatisticos); results/diagnostics/comtrade_coverage/comtrade_coverage_audit.csv 1964 M World row; data/interim/live/portugal_exchange_rate_evidence.csv.",-55476.86956524849,source_b_value_converted_to_USD,776289984.0,USD,22319932000.0,PTE,source_b_original_value / 28.75; registered 1964 PTE/USD rate,,,,,
