dataset_path,column_name,data_type,unit,description,source_status,analytical_use
data/processed/live/portugal_macro_context.csv,year,int64,year,calendar year,BPstat-derived context table with historical-methodology caveats,macro context only; not an empirical identification dataset
data/processed/live/portugal_macro_context.csv,real_exports_goods_services_million_eur,float64,million EUR,chain-linked real exports of goods and services,BPstat-derived context table with historical-methodology caveats,macro context only; not an empirical identification dataset
data/processed/live/portugal_macro_context.csv,exports_goods_services_million_eur,float64,million EUR,exports of goods and services at current prices,BPstat-derived context table with historical-methodology caveats,macro context only; not an empirical identification dataset
data/processed/live/portugal_macro_context.csv,nominal_gdp_million_eur,float64,million EUR,gross domestic product at current prices,BPstat-derived context table with historical-methodology caveats,macro context only; not an empirical identification dataset
data/processed/live/portugal_macro_context.csv,gdp_deflator_index,float64,index,gross domestic product deflator index,BPstat-derived context table with historical-methodology caveats,macro context only; not an empirical identification dataset
data/processed/live/portugal_macro_context.csv,gdp_deflator_yoy_percent,float64,percent,year-over-year GDP deflator growth,BPstat-derived context table with historical-methodology caveats,macro context only; not an empirical identification dataset
data/processed/live/portugal_macro_context.csv,real_gdp_yoy_percent,float64,percent,year-over-year real GDP growth,BPstat-derived context table with historical-methodology caveats,macro context only; not an empirical identification dataset
data/processed/live/portugal_macro_context.csv,real_gfcf_million_eur,float64,million EUR,chain-linked real gross fixed capital formation,BPstat-derived context table with historical-methodology caveats,macro context only; not an empirical identification dataset
data/processed/live/portugal_macro_context.csv,gfcf_million_eur,float64,million EUR,gross fixed capital formation at current prices,BPstat-derived context table with historical-methodology caveats,macro context only; not an empirical identification dataset
data/processed/live/portugal_macro_context.csv,real_imports_goods_services_million_eur,float64,million EUR,chain-linked real imports of goods and services,BPstat-derived context table with historical-methodology caveats,macro context only; not an empirical identification dataset
data/processed/live/portugal_macro_context.csv,imports_goods_services_million_eur,float64,million EUR,imports of goods and services at current prices,BPstat-derived context table with historical-methodology caveats,macro context only; not an empirical identification dataset
data/processed/live/portugal_macro_context.csv,real_gdp_chain_linked_million_eur,float64,million EUR,chain-linked real gross domestic product,BPstat-derived context table with historical-methodology caveats,macro context only; not an empirical identification dataset
data/processed/live/portugal_macro_context.csv,resident_population_thousand_people,float64,thousand people,resident population,BPstat-derived context table with historical-methodology caveats,macro context only; not an empirical identification dataset
data/processed/live/portugal_macro_context.csv,real_gdp_per_resident_thousand_eur,float64,thousand EUR per person,chain-linked real GDP divided by resident population,BPstat-derived context table with historical-methodology caveats,macro context only; not an empirical identification dataset
data/processed/live/portugal_macro_context.csv,source_status,object,status,machine-readable source availability and review status,BPstat-derived context table with historical-methodology caveats,macro context only; not an empirical identification dataset
data/processed/live/portugal_macro_context.csv,coverage_status,object,status,machine-readable coverage status for the project period,BPstat-derived context table with historical-methodology caveats,macro context only; not an empirical identification dataset
