series_id,slug,concept,label,units,frequency,price_basis,domain_id,dataset_id,territorial_definition,methodological_breaks,source_status,review_status,extraction_status,analytical_use
12512877,current_account_balance,current_account,Current account-Balance-Seasonally and calendar effects adjusted-Monthly-M€,millions of euros,monthly,current_prices,3,4c4e01bce4a325307e95143e099a1a50,Portugal reference territory; all countries counterparty,not_reviewed_in_source_notes,original_or_harmonised_not_yet_confirmed,rejected_for_1960_1973,not_extracted,not_usable_for_project_period
12562670,total_employment_national_accounts_quarterly,employment,TSPE-Employment Total-Quarterly-Thousands of people,thousands of people,quarterly,not_applicable,134,e1bc26e910f42ba278827b0ad804be2a,Portugal reference territory in BPstat metadata,not_reviewed_in_source_notes,original_or_harmonised_not_yet_confirmed,rejected_for_1960_1973,not_extracted,not_usable_for_project_period
12518352,exports_goods_services_current_annual,exports_goods_services,Exports of goods and services-CP-A,millions of euros,annual,current_prices,54,ce3e4e50cda325537eff729ef64037cd,"Portugal reference territory in BPstat metadata; national-accounts goods-and-services concept, not merchandise-only trade",not_reviewed_in_source_notes,reconstructed_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,extracted,context_only_not_empirical_identification
12706851,gdp_deflator_annual,gdp_deflator,Deflators of GDP at market prices-annual,index,annual,deflator,181,0623eb9d3bebc56c07359ba1fa875039,Portugal reference territory in BPstat metadata; historical treatment of overseas territories not yet independently reviewed,not_reviewed_in_source_notes,reconstructed_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,extracted,context_only_not_empirical_identification
12562616,tspe_gdp_deflator_quarterly,gdp_deflator,TSPE-GDP-Quarterly-Deflator (2016=1),index,quarterly,deflator_2016_equals_1,31,911c96b897efe17121383bc621c3966e,Portugal reference territory in BPstat metadata,not_reviewed_in_source_notes,original_or_harmonised_not_yet_confirmed,rejected_for_1960_1973,not_extracted,not_usable_for_project_period
12706759,gdp_deflator_yoy_annual,gdp_deflator_growth,Deflators of GDP at market prices-YoY-annual,year_over_year_percent_change,annual,deflator_yoy,181,0623eb9d3bebc56c07359ba1fa875039,Portugal reference territory in BPstat metadata; historical treatment of overseas territories not yet independently reviewed,not_reviewed_in_source_notes,reconstructed_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,extracted,context_only_not_empirical_identification
12518303,gdp_growth_chain_volume_yoy_annual,gdp_growth,GDP at market prices-Annual-Chained volume-YoY,year_over_year_percent_change,annual,chain_linked_volume_yoy,54,ce3e4e50cda325537eff729ef64037cd,Portugal reference territory in BPstat metadata; historical treatment of overseas territories not yet independently reviewed,not_reviewed_in_source_notes,reconstructed_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,extracted,context_only_not_empirical_identification
12518349,gross_fixed_capital_formation_current_annual,gross_fixed_capital_formation,Gross fixed capital formation-CP-A,millions of euros,annual,current_prices,54,ce3e4e50cda325537eff729ef64037cd,Portugal reference territory in BPstat metadata; historical treatment of overseas territories not yet independently reviewed,not_reviewed_in_source_notes,reconstructed_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,extracted,context_only_not_empirical_identification
12518343,imports_goods_services_current_annual,imports_goods_services,Imports of goods and services-CP-A,millions of euros,annual,current_prices,54,ce3e4e50cda325537eff729ef64037cd,"Portugal reference territory in BPstat metadata; national-accounts goods-and-services concept, not merchandise-only trade",not_reviewed_in_source_notes,reconstructed_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,extracted,context_only_not_empirical_identification
12509211,investment_income_psac,investment_income,Investment income-Balance-PSAC-Monthly-M€,millions of euros,monthly,current_prices,3,6d2cc2aad985abe4db42b9d1f83c8c97,Portugal reference; Portuguese-speaking African countries counterparty,not_reviewed_in_source_notes,original_or_harmonised_not_yet_confirmed,rejected_for_1960_1973,not_extracted,not_usable_for_project_period
5739362,manufacturing_employment,manufacturing_employment,Employment-16 to 89 years (thousands)-Mining and manufacturing-Quarterly,thousands of people,quarterly,not_applicable,13,c95282a6e897efdc36832d5611fac100,Portugal reference territory in BPstat metadata,not_reviewed_in_source_notes,original_or_harmonised_not_yet_confirmed,rejected_for_1960_1973,not_extracted,not_usable_for_project_period
12706416,manufacturing_gva_current_annual,manufacturing_value_added,GVA-Manufacturing-annual-current prices,millions of euros,annual,current_prices,55,db0366b1f32fc6842a7541885fcb5600,Portugal reference territory in BPstat metadata; historical industrial classification comparability not yet independently reviewed,not_reviewed_in_source_notes,reconstructed_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,extracted,context_only_not_empirical_identification
12706642,manufacturing_gva_deflator_yoy_annual,manufacturing_value_added_deflator_growth,Deflators of GVA-Manufacturing-YoY-annual,year_over_year_percent_change,annual,deflator_yoy,181,f8d9de1f6eafa76afc24ab71b570bf4c,Portugal reference territory in BPstat metadata; historical industrial classification comparability not yet independently reviewed,not_reviewed_in_source_notes,reconstructed_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,extracted,context_only_not_empirical_identification
12518356,gdp_current_prices_annual,nominal_gdp,GDP at market prices-CP-A,millions of euros,annual,current_prices,54,ce3e4e50cda325537eff729ef64037cd,Portugal reference territory in BPstat metadata; historical treatment of overseas territories not yet independently reviewed,not_reviewed_in_source_notes,reconstructed_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,extracted,context_only_not_empirical_identification
12562584,tspe_gdp_current_prices_quarterly,nominal_gdp,TSPE-GDP-Quarterly-Current prices-M€,millions of euros,quarterly,current_prices,31,8a9766347128321e0bd8a7806d8d2c02,Portugal reference territory in BPstat metadata,not_reviewed_in_source_notes,original_or_harmonised_not_yet_confirmed,rejected_for_1960_1973,not_extracted,not_usable_for_project_period
