year,flow_code,classification_scheme,partner_group,observed_colonial_trade_value_usd,world_value_usd,observed_colonial_share,observed_world_share,complete_colonial_trade_value_usd,complete_colonial_share,partner_coverage_count,expected_partner_count,partner_coverage_ratio,estimate_status,value_method,source_quality
1962,M,colonial_world_share_preliminary,colonies,73792234.0,585345024.0,0.12606621902367107,0.12606621902367107,,,4.0,7.0,0.5714285714285714,incomplete_partner_lower_bound,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1962,X,colonial_world_share_preliminary,colonies,83098353.0,369792288.0,0.224716295327392,0.224716295327392,,,4.0,7.0,0.5714285714285714,incomplete_partner_lower_bound,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1963,M,colonial_world_share_preliminary,colonies,93923476.0,656176256.0,0.14313757186605666,0.14313757186605666,,,4.0,7.0,0.5714285714285714,incomplete_partner_lower_bound,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1963,X,colonial_world_share_preliminary,colonies,99195395.0,418157120.0,0.2372203897903257,0.2372203897903257,,,4.0,7.0,0.5714285714285714,incomplete_partner_lower_bound,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1964,M,colonial_world_share_preliminary,colonies,115615718.0,776289984.0,0.14893367218814973,0.14893367218814973,,,4.0,7.0,0.5714285714285714,incomplete_partner_lower_bound,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1964,X,colonial_world_share_preliminary,colonies,128641990.0,515699840.0,0.24945128933916288,0.24945128933916288,,,4.0,7.0,0.5714285714285714,incomplete_partner_lower_bound,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1965,M,colonial_world_share_preliminary,colonies,126958500.0,923515840.0,0.1374730075014198,0.1374730075014198,,,4.0,7.0,0.5714285714285714,incomplete_partner_lower_bound,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1965,X,colonial_world_share_preliminary,colonies,143866044.0,576399168.0,0.2495944685333064,0.2495944685333064,,,4.0,7.0,0.5714285714285714,incomplete_partner_lower_bound,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1966,M,colonial_world_share_preliminary,colonies,137102531.0,1022796800.0,0.13404669529666108,0.13404669529666108,,,4.0,7.0,0.5714285714285714,incomplete_partner_lower_bound,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1966,X,colonial_world_share_preliminary,colonies,145838524.0,619503488.0,0.2354119497709753,0.2354119497709753,,,4.0,7.0,0.5714285714285714,incomplete_partner_lower_bound,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1967,M,colonial_world_share_preliminary,colonies,151344788.0,1059153920.0,0.14289215678869413,0.14289215678869413,,,4.0,7.0,0.5714285714285714,incomplete_partner_lower_bound,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1967,X,colonial_world_share_preliminary,colonies,170851590.0,701361664.0,0.24359984123683157,0.24359984123683157,,,4.0,7.0,0.5714285714285714,incomplete_partner_lower_bound,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1968,M,colonial_world_share_preliminary,colonies,185909288.0,1178384896.0,0.15776618372406565,0.15776618372406565,,,4.0,7.0,0.5714285714285714,incomplete_partner_lower_bound,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1968,X,colonial_world_share_preliminary,colonies,189667610.0,761222784.0,0.24916176182135924,0.24916176182135924,,,4.0,7.0,0.5714285714285714,incomplete_partner_lower_bound,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1969,M,colonial_world_share_preliminary,colonies,194974368.0,1297515392.0,0.15026747983271707,0.15026747983271707,,,4.0,7.0,0.5714285714285714,incomplete_partner_lower_bound,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1969,X,colonial_world_share_preliminary,colonies,211356325.0,852978752.0,0.24778615470130727,0.24778615470130727,,,4.0,7.0,0.5714285714285714,incomplete_partner_lower_bound,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1970,M,colonial_world_share_preliminary,colonies,233667075.0,1589826688.0,0.1469764451456988,0.1469764451456988,233667075.0,0.1469764451456988,7.0,7.0,1.0,complete_partner_coverage,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
