year,flow_code,classification_scheme,partner_group,trade_value_usd,world_value_usd,world_share,observed_world_share,complete_group_trade_value_usd,complete_world_share,partner_coverage_count,expected_partner_count,partner_coverage_ratio,estimate_status,value_method,source_quality
1962,M,colonial_world_share_preliminary,colonies,73792234.0,585345024.0,0.12606621902367107,0.12606621902367107,,,4.0,7.0,0.5714285714285714,incomplete_partner_lower_bound,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1962,M,colonial_world_share_preliminary,unassigned_world_residual,511552790.0,585345024.0,0.8739337809763289,0.8739337809763289,511552790.0,0.8739337809763289,,,,residual_with_incomplete_selected_group,world_total_minus_selected_groups,preliminary_from_comtrade_coverage_snapshot
1962,X,colonial_world_share_preliminary,colonies,83098353.0,369792288.0,0.224716295327392,0.224716295327392,,,4.0,7.0,0.5714285714285714,incomplete_partner_lower_bound,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1962,X,colonial_world_share_preliminary,unassigned_world_residual,286693935.0,369792288.0,0.775283704672608,0.775283704672608,286693935.0,0.775283704672608,,,,residual_with_incomplete_selected_group,world_total_minus_selected_groups,preliminary_from_comtrade_coverage_snapshot
1963,M,colonial_world_share_preliminary,colonies,93923476.0,656176256.0,0.14313757186605666,0.14313757186605666,,,4.0,7.0,0.5714285714285714,incomplete_partner_lower_bound,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1963,M,colonial_world_share_preliminary,unassigned_world_residual,562252780.0,656176256.0,0.8568624281339433,0.8568624281339433,562252780.0,0.8568624281339433,,,,residual_with_incomplete_selected_group,world_total_minus_selected_groups,preliminary_from_comtrade_coverage_snapshot
1963,X,colonial_world_share_preliminary,colonies,99195395.0,418157120.0,0.2372203897903257,0.2372203897903257,,,4.0,7.0,0.5714285714285714,incomplete_partner_lower_bound,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1963,X,colonial_world_share_preliminary,unassigned_world_residual,318961725.0,418157120.0,0.7627796102096743,0.7627796102096743,318961725.0,0.7627796102096743,,,,residual_with_incomplete_selected_group,world_total_minus_selected_groups,preliminary_from_comtrade_coverage_snapshot
1964,M,colonial_world_share_preliminary,colonies,115615718.0,776289984.0,0.14893367218814973,0.14893367218814973,,,4.0,7.0,0.5714285714285714,incomplete_partner_lower_bound,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1964,M,colonial_world_share_preliminary,unassigned_world_residual,660674266.0,776289984.0,0.8510663278118503,0.8510663278118503,660674266.0,0.8510663278118503,,,,residual_with_incomplete_selected_group,world_total_minus_selected_groups,preliminary_from_comtrade_coverage_snapshot
