dataset_path,column_name,data_type,unit,description,source_status,analytical_use
data/processed/live/portugal_broad_sector_context.csv,year,int64,year,calendar year,BPstat-derived broad-sector context table with classification caveats,broad-sector context only; not a sector-year empirical outcome panel
data/processed/live/portugal_broad_sector_context.csv,sector,object,label,broad-sector label for context tables,BPstat-derived broad-sector context table with classification caveats,broad-sector context only; not a sector-year empirical outcome panel
data/processed/live/portugal_broad_sector_context.csv,real_manufacturing_gva_million_eur,float64,million EUR,chain-linked real manufacturing gross value added,BPstat-derived broad-sector context table with classification caveats,broad-sector context only; not a sector-year empirical outcome panel
data/processed/live/portugal_broad_sector_context.csv,manufacturing_gva_million_eur,float64,million EUR,manufacturing gross value added at current prices,BPstat-derived broad-sector context table with classification caveats,broad-sector context only; not a sector-year empirical outcome panel
data/processed/live/portugal_broad_sector_context.csv,manufacturing_gva_deflator_yoy_percent,float64,percent,year-over-year manufacturing GVA deflator growth,BPstat-derived broad-sector context table with classification caveats,broad-sector context only; not a sector-year empirical outcome panel
data/processed/live/portugal_broad_sector_context.csv,nominal_gdp_million_eur,float64,million EUR,gross domestic product at current prices,BPstat-derived broad-sector context table with classification caveats,broad-sector context only; not a sector-year empirical outcome panel
data/processed/live/portugal_broad_sector_context.csv,real_gdp_chain_linked_million_eur,float64,million EUR,chain-linked real gross domestic product,BPstat-derived broad-sector context table with classification caveats,broad-sector context only; not a sector-year empirical outcome panel
data/processed/live/portugal_broad_sector_context.csv,manufacturing_gva_share_of_nominal_gdp,float64,share,manufacturing GVA divided by nominal GDP,BPstat-derived broad-sector context table with classification caveats,broad-sector context only; not a sector-year empirical outcome panel
data/processed/live/portugal_broad_sector_context.csv,real_manufacturing_gva_share_of_real_gdp,float64,share,real manufacturing GVA divided by real GDP,BPstat-derived broad-sector context table with classification caveats,broad-sector context only; not a sector-year empirical outcome panel
data/processed/live/portugal_broad_sector_context.csv,source_status,object,status,machine-readable source availability and review status,BPstat-derived broad-sector context table with classification caveats,broad-sector context only; not a sector-year empirical outcome panel
data/processed/live/portugal_broad_sector_context.csv,coverage_status,object,status,machine-readable coverage status for the project period,BPstat-derived broad-sector context table with classification caveats,broad-sector context only; not a sector-year empirical outcome panel
