year,source_document_status,aggregate_pass_1_rows,aggregate_pass_2_rows,validated_aggregate_rows,required_validated_rows,source_status,estimate_status,reconciliation_status,blocking_reason
1962,available,4,4,4,4,validated_ine_aggregate,observed_no_estimation,satisfactory_with_caveats,
1963,missing_source_pdf,0,0,0,4,missing_source_pdf,not_available,not_benchmark_year,required_validated_world_and_colonial_flows_missing
1964,missing_source_pdf,0,0,0,4,missing_source_pdf,not_available,not_benchmark_year,required_validated_world_and_colonial_flows_missing
1965,available,4,4,4,4,validated_ine_aggregate,observed_no_estimation,not_benchmark_year,
1966,missing_source_pdf,0,0,0,4,missing_source_pdf,not_available,not_benchmark_year,required_validated_world_and_colonial_flows_missing
1967,missing_source_pdf,0,0,0,4,missing_source_pdf,not_available,not_benchmark_year,required_validated_world_and_colonial_flows_missing
1968,missing_source_pdf,0,0,0,4,missing_source_pdf,not_available,not_benchmark_year,required_validated_world_and_colonial_flows_missing
1969,missing_source_pdf,0,0,0,4,missing_source_pdf,not_available,not_benchmark_year,required_validated_world_and_colonial_flows_missing
1970,available,8,0,0,4,source_registered_pass_1_only,blocked_pending_second_pass,not_benchmark_year,independent_pass_2_required
1971,missing_source_pdf,0,0,0,4,missing_source_pdf,not_available,not_benchmark_year,required_validated_world_and_colonial_flows_missing
1972,missing_source_pdf,0,0,0,4,missing_source_pdf,not_available,not_benchmark_year,required_validated_world_and_colonial_flows_missing
1973,available,8,0,0,4,source_registered_pass_1_only,blocked_pending_second_pass,not_benchmark_year,independent_pass_2_required
