year,flow_code,reporter_code,reporter_available,available_classifications,classification_change_flag,preferred_classification_for_checks,colonial_partner_codes_present,colonial_partner_count_present,world_value_usd,partner_sum_usd,world_partner_absolute_difference,world_partner_percentage_difference,world_partner_status,valuation_note,territorial_definition_status
1962,X,620,True,S1,False,S1,24;508;624;626,4,369792288.0,178483011.0,191309277.0,0.5173425277057156,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
1962,M,620,True,S1,False,S1,24;508;624;626,4,585345024.0,227767657.0,357577367.0,0.6108830729549347,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
1963,X,620,True,S1,False,S1,24;508;624;626,4,418157120.0,209898646.0,208258474.0,0.4980388089529601,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
1963,M,620,True,S1,False,S1,24;508;624;626,4,656176256.0,260889871.0,395286385.0,0.6024088518679956,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
1964,X,620,True,S1,False,S1,24;508;624;626,4,515699840.0,276689560.0,239010280.0,0.46346781879940085,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
1964,M,620,True,S1,False,S1,24;508;624;626,4,776289984.0,310881378.0,465408606.0,0.5995293197032927,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
1965,X,620,True,S1,False,S1,24;508;624;626,4,576399168.0,319364845.0,257034323.0,0.44593111383533435,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
1965,M,620,True,S1,False,S1,24;508;624;626,4,923515840.0,361060902.0,562454938.0,0.6090365899950346,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
1966,X,620,True,S1,False,S1,24;508;624;626,4,619503488.0,344541636.0,274961852.0,0.4438422984310946,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
1966,M,620,True,S1,False,S1,24;508;624;626,4,1022796800.0,421481017.0,601315783.0,0.5879132423957525,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
1967,X,620,True,S1,False,S1,24;508;624;626,4,701361664.0,423773023.0,277588641.0,0.39578530628101166,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
1967,M,620,True,S1,False,S1,24;508;624;626,4,1059153920.0,448562827.0,610591093.0,0.5764894803958238,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
1968,X,620,True,S1,False,S1,24;508;624;626,4,761222784.0,461035381.0,300187403.0,0.3943489466022079,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
1968,M,620,True,S1,False,S1,24;508;624;626,4,1178384896.0,502482069.0,675902827.0,0.5735840889460959,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
1969,X,620,True,S1,False,S1,24;508;624;626,4,852978752.0,527306740.0,325672012.0,0.38180553880901363,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
1969,M,620,True,S1,False,S1,24;508;624;626,4,1297515392.0,564051970.0,733463422.0,0.565283022091502,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
1970,X,620,True,S1,False,S1,24;132;446;508;624;626;678,7,949225152.0,590445300.0,358779852.0,0.3779712866268424,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
1970,M,620,True,S1,False,S1,24;132;446;508;624;626;678,7,1589826688.0,683083440.0,906743248.0,0.5703409402069366,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
1971,X,620,True,S1,False,S1,24;132;446;508;624;626;678,7,1052598592.0,633404234.0,419194358.0,0.39824712020895425,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
1971,M,620,True,S1,False,S1,24;132;446;508;624;626;678,7,1823831680.0,738487537.0,1085344143.0,0.5950900814487442,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
1972,X,620,True,S1,False,S1,24;132;446;508;624;626;678,7,1293765376.0,726848314.0,566917062.0,0.4381915550660091,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
1972,M,620,True,S1,False,S1,24;132;446;508;624;626;678,7,2227166208.0,866646008.0,1360520200.0,0.6108750191669575,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
1973,X,620,True,S1,False,S1,24;132;446;508;624;626;678,7,1861681536.0,1055703501.0,805978035.0,0.4329301330085276,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
1973,M,620,True,S1,False,S1,24;132;446;508;624;626;678,7,3072798464.0,1150440132.0,1922358332.0,0.6256050810106106,outside_tolerance,"Comtrade convention: imports CIF, exports FOB; verify in source metadata.",requires_historical_metadata_review
