year,flow_code,partner_group,trade_value_usd,source_quality
1962,M,colonies,73792234.0,selected_partner_records_not_full_world
1962,M,eec6,40850044.0,selected_partner_records_not_full_world
1962,M,efta,111855837.0,selected_partner_records_not_full_world
1962,M,rest_of_world,1269542.0,selected_partner_records_not_full_world
1962,X,colonies,83098353.0,selected_partner_records_not_full_world
1962,X,eec6,28089806.0,selected_partner_records_not_full_world
1962,X,efta,67250336.0,selected_partner_records_not_full_world
1962,X,rest_of_world,44516.0,selected_partner_records_not_full_world
1963,M,colonies,93923476.0,selected_partner_records_not_full_world
1963,M,eec6,50329912.0,selected_partner_records_not_full_world
1963,M,efta,115240485.0,selected_partner_records_not_full_world
1963,M,rest_of_world,1395998.0,selected_partner_records_not_full_world
1963,X,colonies,99195395.0,selected_partner_records_not_full_world
1963,X,eec6,27813570.0,selected_partner_records_not_full_world
1963,X,efta,82845548.0,selected_partner_records_not_full_world
1963,X,rest_of_world,44133.0,selected_partner_records_not_full_world
1964,M,colonies,115615718.0,selected_partner_records_not_full_world
1964,M,eec6,57383756.0,selected_partner_records_not_full_world
1964,M,efta,134554637.0,selected_partner_records_not_full_world
1964,M,rest_of_world,3327267.0,selected_partner_records_not_full_world
1964,X,colonies,128641990.0,selected_partner_records_not_full_world
1964,X,eec6,29153135.0,selected_partner_records_not_full_world
1964,X,efta,118653536.0,selected_partner_records_not_full_world
1964,X,rest_of_world,240899.0,selected_partner_records_not_full_world
1965,M,colonies,126958500.0,selected_partner_records_not_full_world
1965,M,eec6,70439448.0,selected_partner_records_not_full_world
1965,M,efta,161801463.0,selected_partner_records_not_full_world
1965,M,rest_of_world,1861491.0,selected_partner_records_not_full_world
1965,X,colonies,143866044.0,selected_partner_records_not_full_world
1965,X,eec6,32406553.0,selected_partner_records_not_full_world
1965,X,efta,142555805.0,selected_partner_records_not_full_world
1965,X,rest_of_world,536443.0,selected_partner_records_not_full_world
1966,M,colonies,137102531.0,selected_partner_records_not_full_world
1966,M,eec6,83374512.0,selected_partner_records_not_full_world
1966,M,efta,196918753.0,selected_partner_records_not_full_world
1966,M,rest_of_world,4085221.0,selected_partner_records_not_full_world
1966,X,colonies,145838524.0,selected_partner_records_not_full_world
1966,X,eec6,35793797.0,selected_partner_records_not_full_world
1966,X,efta,162498004.0,selected_partner_records_not_full_world
1966,X,rest_of_world,411311.0,selected_partner_records_not_full_world
1967,M,colonies,151344788.0,selected_partner_records_not_full_world
1967,M,eec6,92794272.0,selected_partner_records_not_full_world
1967,M,efta,199174656.0,selected_partner_records_not_full_world
1967,M,rest_of_world,5249111.0,selected_partner_records_not_full_world
1967,X,colonies,170851590.0,selected_partner_records_not_full_world
1967,X,eec6,33646784.0,selected_partner_records_not_full_world
1967,X,efta,219039087.0,selected_partner_records_not_full_world
1967,X,rest_of_world,235562.0,selected_partner_records_not_full_world
1968,M,colonies,185909288.0,selected_partner_records_not_full_world
1968,M,eec6,99229982.0,selected_partner_records_not_full_world
1968,M,efta,214385676.0,selected_partner_records_not_full_world
1968,M,rest_of_world,2957123.0,selected_partner_records_not_full_world
1968,X,colonies,189667610.0,selected_partner_records_not_full_world
1968,X,eec6,33544577.0,selected_partner_records_not_full_world
1968,X,efta,237583890.0,selected_partner_records_not_full_world
1968,X,rest_of_world,239304.0,selected_partner_records_not_full_world
1969,M,colonies,194974368.0,selected_partner_records_not_full_world
1969,M,eec6,109373804.0,selected_partner_records_not_full_world
1969,M,efta,254126668.0,selected_partner_records_not_full_world
1969,M,rest_of_world,5577130.0,selected_partner_records_not_full_world
1969,X,colonies,211356325.0,selected_partner_records_not_full_world
1969,X,eec6,39432378.0,selected_partner_records_not_full_world
1969,X,efta,276105162.0,selected_partner_records_not_full_world
1969,X,rest_of_world,412875.0,selected_partner_records_not_full_world
1970,M,colonies,233667075.0,selected_partner_records_not_full_world
1970,M,eec6,124400120.0,selected_partner_records_not_full_world
1970,M,efta,325016245.0,selected_partner_records_not_full_world
1970,X,colonies,232458821.0,selected_partner_records_not_full_world
1970,X,eec6,55344136.0,selected_partner_records_not_full_world
1970,X,efta,302642343.0,selected_partner_records_not_full_world
1971,M,colonies,241496013.0,selected_partner_records_not_full_world
1971,M,eec6,140363040.0,selected_partner_records_not_full_world
1971,M,efta,356628484.0,selected_partner_records_not_full_world
1971,X,colonies,225446933.0,selected_partner_records_not_full_world
1971,X,eec6,57496688.0,selected_partner_records_not_full_world
1971,X,efta,350460613.0,selected_partner_records_not_full_world
1972,M,colonies,258759843.0,selected_partner_records_not_full_world
1972,M,eec6,176538400.0,selected_partner_records_not_full_world
1972,M,efta,431347765.0,selected_partner_records_not_full_world
1972,X,colonies,189372669.0,selected_partner_records_not_full_world
1972,X,eec6,71729328.0,selected_partner_records_not_full_world
1972,X,efta,465746317.0,selected_partner_records_not_full_world
1973,M,colonies,309642994.0,selected_partner_records_not_full_world
1973,M,eec6,257523040.0,selected_partner_records_not_full_world
1973,M,efta,208257874.0,selected_partner_records_not_full_world
1973,M,rest_of_world,375016224.0,selected_partner_records_not_full_world
1973,X,colonies,276364569.0,selected_partner_records_not_full_world
1973,X,eec6,107417020.0,selected_partner_records_not_full_world
1973,X,efta,170745752.0,selected_partner_records_not_full_world
1973,X,rest_of_world,501176160.0,selected_partner_records_not_full_world
