year,flow_code,destination_group_hhi
1962,M,0.37833609542460644
1962,X,0.38350427282877275
1963,M,0.3619712269555821
1963,X,0.3966800432509711
1964,M,0.3598231456611812
1964,X,0.41116214333006784
1965,M,0.36254642131829046
1965,X,0.4124763036065787
1966,M,0.36331810218516136
1966,X,0.4124023170036956
1967,M,0.3539317657058588
1967,X,0.4360117510328235
1968,M,0.357952588372817
1968,X,0.4401016640790275
1969,M,0.3601679560570751
1969,X,0.4404228856148306
1970,M,0.37657549690033254
1970,X,0.4265103948869682
1971,M,0.37627353882871845
1971,X,0.44106286791395516
1972,M,0.37836866182437845
1972,X,0.4882123795870653
1973,M,0.26158076399911606
1973,X,0.33041200648125857
