year,flow_code,partner_group,trade_value_usd,source_quality,selected_partner_share
1962,M,colonies,73792234.0,diagnostic_selected_partners_not_world_denominator,0.3236460552841077
1962,M,eec_current,40850044.0,diagnostic_selected_partners_not_world_denominator,0.17916459337417856
1962,M,efta_current,111855837.0,diagnostic_selected_partners_not_world_denominator,0.49058957078806076
1962,M,requested_unclassified_partner,1504769.0,diagnostic_selected_partners_not_world_denominator,0.006599780553652997
1962,X,colonies,83098353.0,diagnostic_selected_partners_not_world_denominator,0.46341762572547696
1962,X,eec_current,28089806.0,diagnostic_selected_partners_not_world_denominator,0.15664944891999552
1962,X,efta_current,67250336.0,diagnostic_selected_partners_not_world_denominator,0.37503740944613634
1962,X,requested_unclassified_partner,877846.0,diagnostic_selected_partners_not_world_denominator,0.0048955159083911935
1963,M,colonies,93923476.0,diagnostic_selected_partners_not_world_denominator,0.35951732283237614
1963,M,eec_current,50329912.0,diagnostic_selected_partners_not_world_denominator,0.19265125175551512
1963,M,efta_current,115240485.0,diagnostic_selected_partners_not_world_denominator,0.441113898394312
1963,M,requested_unclassified_partner,1754946.0,diagnostic_selected_partners_not_world_denominator,0.006717527017796777
1963,X,colonies,99195395.0,diagnostic_selected_partners_not_world_denominator,0.4696774451675251
1963,X,eec_current,27813570.0,diagnostic_selected_partners_not_world_denominator,0.13169367891108372
1963,X,efta_current,82845548.0,diagnostic_selected_partners_not_world_denominator,0.3922630211628631
1963,X,requested_unclassified_partner,1344462.0,diagnostic_selected_partners_not_world_denominator,0.006365854758528066
1964,M,colonies,115615718.0,diagnostic_selected_partners_not_world_denominator,0.37142458232382064
1964,M,eec_current,57383756.0,diagnostic_selected_partners_not_world_denominator,0.18434982693678414
1964,M,efta_current,134554637.0,diagnostic_selected_partners_not_world_denominator,0.4322673483501465
1964,M,requested_unclassified_partner,3722319.0,diagnostic_selected_partners_not_world_denominator,0.011958242389248681
1964,X,colonies,128641990.0,diagnostic_selected_partners_not_world_denominator,0.4628077254106961
1964,X,eec_current,29153135.0,diagnostic_selected_partners_not_world_denominator,0.10488252006938756
1964,X,efta_current,118653536.0,diagnostic_selected_partners_not_world_denominator,0.4268728516100858
1964,X,requested_unclassified_partner,1511241.0,diagnostic_selected_partners_not_world_denominator,0.005436902909830498
1965,M,colonies,126958500.0,diagnostic_selected_partners_not_world_denominator,0.3508307192598857
1965,M,eec_current,70439448.0,diagnostic_selected_partners_not_world_denominator,0.1946488199380846
1965,M,efta_current,161801463.0,diagnostic_selected_partners_not_world_denominator,0.4471140068730473
1965,M,requested_unclassified_partner,2680245.0,diagnostic_selected_partners_not_world_denominator,0.007406453928982402
1965,X,colonies,143866044.0,diagnostic_selected_partners_not_world_denominator,0.4482388211820492
1965,X,eec_current,32406553.0,diagnostic_selected_partners_not_world_denominator,0.10096805828131064
1965,X,efta_current,142555805.0,diagnostic_selected_partners_not_world_denominator,0.4441565515338566
1965,X,requested_unclassified_partner,2130063.0,diagnostic_selected_partners_not_world_denominator,0.006636569002783584
1966,M,colonies,137102531.0,diagnostic_selected_partners_not_world_denominator,0.3244111310782095
1966,M,eec_current,83374512.0,diagnostic_selected_partners_not_world_denominator,0.19728023650426812
1966,M,efta_current,196918753.0,diagnostic_selected_partners_not_world_denominator,0.46594789261213976
1966,M,requested_unclassified_partner,5223892.0,diagnostic_selected_partners_not_world_denominator,0.012360739805382659
1966,X,colonies,145838524.0,diagnostic_selected_partners_not_world_denominator,0.42161214273762265
1966,X,eec_current,35793797.0,diagnostic_selected_partners_not_world_denominator,0.10347814168693513
1966,X,efta_current,162498004.0,diagnostic_selected_partners_not_world_denominator,0.4697738963473518
1966,X,requested_unclassified_partner,1776515.0,diagnostic_selected_partners_not_world_denominator,0.00513581922809043
1967,M,colonies,151344788.0,diagnostic_selected_partners_not_world_denominator,0.3370835344303901
1967,M,eec_current,92794272.0,diagnostic_selected_partners_not_world_denominator,0.20667656675864504
1967,M,efta_current,199174656.0,diagnostic_selected_partners_not_world_denominator,0.44361287825410345
1967,M,requested_unclassified_partner,5669318.0,diagnostic_selected_partners_not_world_denominator,0.012627020556861398
1967,X,colonies,170851590.0,diagnostic_selected_partners_not_world_denominator,0.4017334492402907
1967,X,eec_current,33646784.0,diagnostic_selected_partners_not_world_denominator,0.07911567338742954
1967,X,efta_current,219039087.0,diagnostic_selected_partners_not_world_denominator,0.515039561170921
1967,X,requested_unclassified_partner,1748485.0,diagnostic_selected_partners_not_world_denominator,0.004111316201358791
1968,M,colonies,185909288.0,diagnostic_selected_partners_not_world_denominator,0.3696174574689726
1968,M,eec_current,99229982.0,diagnostic_selected_partners_not_world_denominator,0.19728510633385848
1968,M,efta_current,214385676.0,diagnostic_selected_partners_not_world_denominator,0.4262330803014368
1968,M,requested_unclassified_partner,3452617.0,diagnostic_selected_partners_not_world_denominator,0.006864355895732073
1968,X,colonies,189667610.0,diagnostic_selected_partners_not_world_denominator,0.4095282478502319
1968,X,eec_current,33544577.0,diagnostic_selected_partners_not_world_denominator,0.07242908709445535
1968,X,efta_current,237583890.0,diagnostic_selected_partners_not_world_denominator,0.5129885602984201
1968,X,requested_unclassified_partner,2340742.0,diagnostic_selected_partners_not_world_denominator,0.0050541047568925844
1969,M,colonies,194974368.0,diagnostic_selected_partners_not_world_denominator,0.3450062272520873
1969,M,eec_current,109373804.0,diagnostic_selected_partners_not_world_denominator,0.19353643181574132
1969,M,efta_current,254126668.0,diagnostic_selected_partners_not_world_denominator,0.44967594392111965
1969,M,requested_unclassified_partner,6658055.0,diagnostic_selected_partners_not_world_denominator,0.01178139701105171
1969,X,colonies,211356325.0,diagnostic_selected_partners_not_world_denominator,0.3992648189564953
1969,X,eec_current,39432378.0,diagnostic_selected_partners_not_world_denominator,0.07449013538248306
1969,X,efta_current,276105162.0,diagnostic_selected_partners_not_world_denominator,0.5215792691270716
1969,X,requested_unclassified_partner,2469893.0,diagnostic_selected_partners_not_world_denominator,0.004665776533950026
1970,M,colonies,233667075.0,diagnostic_selected_partners_not_world_denominator,0.3416925900728998
1970,M,eec_current,124400120.0,diagnostic_selected_partners_not_world_denominator,0.18191094833612972
1970,M,efta_current,325016245.0,diagnostic_selected_partners_not_world_denominator,0.4752729607704388
1970,M,requested_unclassified_partner,768308.0,diagnostic_selected_partners_not_world_denominator,0.0011235008205316454
