requirement_id,requirement,status,blocking_reason,evidence_path
1,All tests pass,passed,,results/releases/current/freeze_blocking_reasons.csv
2,Linting passes,passed,,results/releases/current/freeze_blocking_reasons.csv
3,Type checking passes,passed,,results/releases/current/freeze_blocking_reasons.csv
4,Reproduction from local snapshots passes,passed,,results/releases/current/freeze_blocking_reasons.csv
5,Manifest is deterministic,passed,,results/releases/current/freeze_blocking_reasons.csv
6,Source-document checksums match,passed,,results/releases/current/freeze_blocking_reasons.csv
7,Human transcription and adjudication are complete,blocked,human_transcription_incomplete,results/releases/current/freeze_blocking_reasons.csv
8,Cross-source reconciliations are resolved or documented,passed,,results/releases/current/freeze_blocking_reasons.csv
9,Territorial definitions are resolved,blocked,territorial_definition_not_ready,results/releases/current/freeze_blocking_reasons.csv
10,All analytical datasets have data dictionaries,passed,,results/releases/current/freeze_blocking_reasons.csv
11,Every final result table has release provenance,passed,,results/releases/current/freeze_blocking_reasons.csv
12,No exploratory output is mixed with release results,passed,,results/releases/current/freeze_blocking_reasons.csv
13,No paper prose is stored in the repository,passed,,results/releases/current/freeze_blocking_reasons.csv
14,Create a release archive from tracked files only,blocked,source_redistribution_rights_unresolved,results/releases/current/freeze_blocking_reasons.csv
15,Produce final RESEARCH_DATA_READINESS.txt,passed,,results/releases/current/freeze_blocking_reasons.csv
